design,method,predicted_intervention,Chapter 1,Chapter 2,Chapter 3
Quasi-experimental,Fixed effects (incl. DiD),"Structured health education program on folic acid supplementation provided to periconceptional women at a community health clinic, compared to routine antenatal care.",,,
Quasi-experimental,Statistical matching,Provision of daily ration of 50g locally produced ready-to-use supplementary food (Wawa-Mum) to children aged 6–18 months in intervention clusters,,,
Quasi-experimental,Statistical matching,Strengthening land tenure rights (ownership of permanent land rights) to assess impact on adoption of agricultural practices and subsequent household income and food insecurity,,,
Experimental,Randomised controlled trial,Provision of pasteurized cow’s milk fortified with 10g albumin powder daily for 12 weeks to primary-school children with mild-to-moderate underweight,,,
Quasi-experimental,Fixed effects (incl. DiD),"Adoption of Voluntary Sustainability Standards (VSS) such as Fairtrade, GlobalGAP, or Organic certification among Peruvian family farms",,,
Experimental,Randomised controlled trial,"Provision of iron-fortified lentils to adolescent girls, compared to non-fortified lentils and no lentils, over a 4-month period",,,
Experimental,Randomised controlled trial,"Online nutrition education and counselling for mothers delivered via WhatsApp, based on the Theory of Planned Behavior, including PowerPoint presentations, text descriptions, posters, and video tutorials over 10 sessions in 8 days.",,,
Quasi-experimental,Statistical matching,School-based milk supplementation (food supplementation program) for improving nutritional status among school-going children,,,
Experimental,Randomised controlled trial,"Father-inclusive, bundled parenting and nutrition intervention delivered by community health workers to parents through peer groups and home visits, including content on responsive parenting, infant and young child feeding, and positive couples’ relationships.",,,
Experimental,Randomised controlled trial,"A health-related education program consisting of six 1.5-hour educational sessions on diet quality, food security, food safety, and physical activity for low-income women who are heads of households",,,
Quasi-experimental,Synthetic control,Enhanced protection of protected areas for tiger conservation,,,
Quasi-experimental,Fixed effects (incl. DiD),Receipt of old-age pension among the elderly in Kyrgyzstan,,,
Experimental,Randomised controlled trial,Social and behavior change communication (SBCC) intervention on gender and nutrition implemented at the village level.,,,
Quasi-experimental,Fixed effects (incl. DiD),Nutrition-sensitive livestock interventions aimed at improving diets and nutritional status among children under 5 years and pregnant/lactating women in Africa.,,,
Experimental,"['Fixed effects (incl. DiD)', 'Statistical matching']","Delivery of PACE++ curriculum with health and nutrition sessions in community settings (TARA intervention) aimed at improving gender attitudes, empowerment, and dietary practices among adolescent girls in rural Bihar.",,,
Quasi-experimental,Statistical matching,"Engaging federations of women’s groups through participatory learning and action meetings, fixed monthly health camps (Adolescent Health Days and Village Health Sanitation and Nutrition Days), and strengthening supply-side delivery mechanisms to improve women’s nutrition interventions before, during, and after pregnancy in resource-poor blocks.",,,
Experimental,Randomised controlled trial,"Nutrition education (three sessions) and provision of four varieties of vegetable seeds for home gardening, delivered to pregnant women (with either husbands or peers), compared to routine nutrition education (control).",,,
Experimental,Randomised controlled trial,"Supplementation of pregnant mothers with dadih (fermented milk), zinc, and a combination of dadih and zinc for 6 months.",,,
Experimental,Randomised controlled trial,mHealth messaging intervention involving weekly voice and text messages to caregivers on infant and young child feeding practices over a 16-week period,,,
Experimental,Randomised controlled trial,"Breastfeeding Self-Efficacy and Family Support Enhancement Program for first-time postpartum mothers, in addition to standard care",,,
Quasi-experimental,Fixed effects (incl. DiD),"Health promotion intervention consisting of motivational group counseling, one-to-one counseling, PowerPoint presentations, lectures, and messages targeting small portion size consumption behavior.",,,
Experimental,Randomised controlled trial,Daily educational message sent through WhatsApp for seven weeks to pregnant women,,,
Experimental,Randomised controlled trial,"Provision of Solanum torvum (turkey berry)-fortified biscuits to adolescent females for six weeks, compared to a placebo biscuit control group.",,,
Experimental,Randomised controlled trial,Graduation program with men's engagement groups aimed at improving gender equitable attitudes and increasing men’s engagement in household domestic tasks in rural Ethiopia.,,,
Experimental,Randomised controlled trial,Weekly classroom-based nutrition education sessions for students and distribution of healthy eating materials for students and parents.,,,
Quasi-experimental,Regression discontinuity design,"Unconditional multipurpose cash assistance transfers (MPCA) for up to 6 months to crisis-affected Venezuelan migrants and Colombian returnees, including targeted nutritional messaging and information on social and legal services",,,
Quasi-experimental,Instrumental variable estimation,Provision of credit access to food crop farmers,,,
Quasi-experimental,Other,Large-scale land restoration and afforestation/reforestation activities to combat desertification in Northern Nigeria under the Action Against Desertification program.,,,
Quasi-experimental,Synthetic control,"Payment for Ecosystem Services (PES) forestry incentives (including restoration, plantation, agroforestry, and natural forest protection projects) for landowners in Guatemala",,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment and management of community forests (CFs) in Cambodia,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation and expansion of green credit policies to support agricultural activities,,,
Quasi-experimental,Instrumental variable estimation,Farmland titling and land adjustment policies affecting rights security and collective action in irrigation governance,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's Grain-for-Green Program (GFGP) in the West Liao River Basin from 2001 onwards,,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment of the Mount Wuyi National Park,,,
Quasi-experimental,Fixed effects (incl. DiD),"Environmental decentralization policies, including decentralization of environmental monitoring and administration",,,
Quasi-experimental,Statistical matching,Certification of cocoa-based agroforestry systems,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's Main Grain-Producing Areas (MGPA) policy,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s water rights trading policy (WRT),,,
Quasi-experimental,Fixed effects (incl. DiD),"Shifts in precipitation location (inside vs. outside protected areas) within relevant catchment areas, leveraging the presence of protected areas as green infrastructure to evaluate their effect on the frequency and impact of floods and landslides.",,,
Quasi-experimental,Fixed effects (incl. DiD),Land registration and certification programme in the Tigray region of Ethiopia,,,
Quasi-experimental,Fixed effects (incl. DiD),"Legal amendments in 2010 to increase land tenure security (protection of tenants on mailo land), with subsequent acceleration in permanent certificates of occupancy after 2017",,,
Quasi-experimental,Statistical matching,Establishment of Pudacuo National Park (protection measures compared to areas outside the park),,,
Experimental,Randomised controlled trial,Payments for environmental services (PES) program implemented in villages in western Uganda,,,
Quasi-experimental,Fixed effects (incl. DiD),Devolution of forestland tenure rights to households,,,
Quasi-experimental,Fixed effects (incl. DiD),Grassland Ecological Compensation policy (GECP) - a payments for ecosystem services program aimed at improving grassland ecosystems and pastoralist well-being in Inner Mongolia.,,,
Quasi-experimental,Statistical matching,Biochar and compost production training for carbon farming,,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment of National Marine Parks (NMPs) in coastal cities in China,,,
Quasi-experimental,Statistical matching,"Establishment of the Gutianshan National Nature Reserve (GNNR) to protect forest ecosystems and curb forest degradation, loss, and carbon emissions",,,
Quasi-experimental,Synthetic control,Voluntary avoided-deforestation carbon offset projects,,,
Quasi-experimental,Fixed effects (incl. DiD),"Development and promotion of agricultural insurance to reduce agricultural carbon emissions, mediated by low-carbon technology innovation",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the UN-REDD (United Nations Collaborative Programme on Reducing Emissions from Deforestation and Forest Degradation) in developing countries,,,
Quasi-experimental,Fixed effects (incl. DiD) and Synthetic control,"Implementation of forestry carbon sinks (FCS) projects in pilot regions of Sichuan, China",,,
Quasi-experimental,Fixed effects (incl. DiD),Participation in VietGAP and PGS local agricultural certification schemes,,,
Quasi-experimental,Fixed effects (incl. DiD),Land transfer (policy of transferring farmland use rights),,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 'comprehensive demonstration of e-commerce into villages' policy in selected rural Chinese counties,,,
Quasi-experimental,Statistical matching,Establishment and management of protected areas (PAs) in Southeast Asia to conserve biodiversity,,,
Quasi-experimental,Fixed effects (incl. DiD),Bolsa Verde program: payments to extremely poor households for implementing sustainable activities and maintaining forest cover at the communal level,,,
Quasi-experimental,Fixed effects (incl. DiD),"The Punjab Preservation of Subsoil Water Act, 2009, which aimed to reduce groundwater extraction for irrigation",,,
Quasi-experimental,Instrumental variable estimation,Adoption of community forest management plans designed by certified foresters,,,
Quasi-experimental,Fixed effects (incl. DiD),Payment for Environmental Services (PES) programme to incentivize forest conservation among private landowners,,,
Experimental,Randomised controlled trial,"Payments for Ecosystem Services (PES) provided to land users in Western Uganda, with incentives conditional on pro-environmental conservation activities.",,,
Quasi-experimental,Instrumental variable estimation,Bio-reclamation of degraded land (BDL) technology targeted at rural women farmers,,,
Quasi-experimental,Statistical matching,Provision of extension services to smallholder ruminant livestock farmers,,,
Quasi-experimental,Fixed effects (incl. DiD),Land titling reform in China aimed at strengthening property rights and reducing misallocation in agricultural production,,,
Experimental,Randomised controlled trial,Provision of Ready-to-Use Supplementary Food (RUSF) to children with moderate acute malnutrition (MAM),,,
Quasi-experimental,Other,Frequency of Antenatal Care (ANC) and receipt of Postnatal Care (PNC) services,,,
Qualitative,Outcome harvesting,"Scoping review assessing the application of multi-level theories and frameworks in empirical research on adolescent and young adult HIV prevention, care, and treatment",,,
Quasi-experimental,Statistical matching,Implementation of the Extractive Industries Transparency Initiative (EITI) standard in resource-rich developing countries,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of state forest policies in southern provinces of China, specifically including the Slope Land Conversion Program, Collective Forest Tenure Reform, and Timber Logging Quotas.",,,
Quasi-experimental,Synthetic control,"Enhanced protection for tiger conservation in selected protected areas (national policy intervention in India aimed at tiger conservation, leading to stricter habitat protection and restoration measures)",,,
Quasi-experimental,Difference-in-differences (Fixed effects incl. DiD),Conditioning coffee crop renovation credits on the adoption of pest-resistant seed varieties in Colombia's coffee sector,,,
Quasi-experimental,Instrumental variable estimation,The introduction and/or interaction of community-based (endogenous) and state-based (exogenous) forest management institutions (FMIs) affecting forest-use practices among households in Cameroonian communities.,,,
Quasi-experimental,Fixed effects (incl. DiD),"Grassland ecological compensation policy (GECP), a payment for ecosystem services program implemented to manage and restore degraded grasslands in China.",,,
Quasi-experimental,Statistical matching,"Adoption of climate change adaptation strategies (e.g., crop rotation and improved seed varieties) by rural farm households",,,
Quasi-experimental,Fixed effects (incl. DiD),Federally supported Payments for Ecosystem Services (PES) program that provides economic subsidies to landowners (ejidos) to help protect forest resources.,,,
Quasi-experimental,Synthetic control,Expansion of soy cultivation at the state level in Brazil,,,
Quasi-experimental,Instrumental variable estimation,"Official Development Assistance to agriculture, distinguished by climate mitigation and adaptation focus",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s ecological compensation (transfer payment) policy in national key ecological function areas in Hebei Province,,,
Quasi-experimental,Statistical matching,"Exposure of farmers to weather and climate information services (WCIS), providing them with forecasts and advisories to inform farm management decisions.",,,
Quasi-experimental,Fixed effects (incl. DiD),Formalization of land tenure for Indigenous lands in the Atlantic Forest of Brazil,,,
Quasi-experimental,Fixed effects (incl. DiD),"Mandated representation for Scheduled Tribes in local government councils, implemented by the 1996 law",,,
Quasi-experimental,"Fixed effects (incl. DiD), Statistical matching",Establishment and enforcement of different types of Protected Areas (PAs) in the Amazon region,,,
Quasi-experimental,Statistical matching,"Delivery of Climate Smart Agriculture practices blended with Disaster Risk Reduction using the Farmer Field School approach to poor and vulnerable households, including those benefiting from social protection programs, in Mwanza and Neno districts.",,,
Experimental,Randomised controlled trial,"Bundled intervention providing training and inputs (tree seedlings and vegetable gardening inputs) to encourage adoption of sustainable land management practices; the study also tests two targeting strategies: training women alone or training couples jointly, to promote SLM adoption and women's participation in rural Ethiopian households.",,,
Experimental,Randomised controlled trial,"Providing smallholder farmers with accurate, locally relevant, probabilistic medium-range weather forecasts and related probability training in a lab-in-the-field experimental setting",,,
Experimental,Randomised controlled trial,Climate-adaptive agricultural training and disbursement of enterprise grants,,,
Qualitative,Outcome harvesting,"Language of instruction interventions (teaching in mother tongue with later transition, teaching in a non-mother tongue language, teaching in two or more languages simultaneously)",,,
Quasi-experimental,Instrumental variable estimation,Provision and utilization of climate information services (CIS) to crop farmers,,,
Quasi-experimental,Spatial regression discontinuity design,Introduction of biomass power plants as economic incentives for crop residue collection; command and control policy banning agricultural fires within 15 km of airports,,,
Quasi-experimental,Fixed effects (incl. DiD),Farmland transfer policy (measured as the level or extent of farmland transfer across provinces),,,
Quasi-experimental,Statistical matching,Seasonal climate forecasting training for farm households,,,
Quasi-experimental,Statistical matching,"Large-scale land restoration and livelihood development project (Action Against Desertification) aimed at halting desertification, improving household incomes, and food security through restoration activities in Northern Nigeria.",,,
Quasi-experimental,Fixed effects (incl. DiD),Fishing ban compensation policy in the Yangtze River,,,
Quasi-experimental,Statistical matching,World Vision Zimbabwe and partner programs providing diversification strategies and grassroots training to smallholder farmers to increase resilience to climate shocks,,,
Quasi-experimental,Fixed effects (incl. DiD),Forest Investment Program (FIP) aimed at reducing deforestation and improving livelihoods through increased monitoring and enforcement activities in selected communities in Ghana.,,,
Quasi-experimental,Statistical matching,Small-scale irrigation (SSI) adoption among farm households,,,
Quasi-experimental,Statistical matching,Establishment and management of Protected Areas (PAs) aimed at conserving habitats and ecosystems in the Pan-Pearl River Delta region of China amid increasing human modification,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental regulations affecting industrial and agricultural sectors,,,
Quasi-experimental,Fixed effects (incl. DiD),Environmental decentralization policies affecting pig breeding at the provincial level in China,,,
Quasi-experimental,Synthetic control,Geographical Indication (GI) certification for Cafe de Colombia,,,
Quasi-experimental,Fixed effects (incl. DiD),Signature of deferred prosecution agreements (TAC) with slaughterhouses to monitor environmental practices of ranchers in the Brazilian Amazon,,,
Quasi-experimental,Statistical matching,Climate-resilient push-pull technology for agriculture,,,
Qualitative,Outcome harvesting,Climate change mitigation and adaptation strategies (varied interventions including adaptation and mitigation programs aiming to improve mental health and wellbeing in LMICs),,,
Quasi-experimental,Other,"Forest conservation interventions (various policies and programs to conserve forests in tropical regions, including those whose effects are estimated using counterfactual-based studies)",,,
Quasi-experimental,Other,"A systematic review and meta-analysis of experimental and quasi-experimental studies assessing eight categories of coastal and terrestrial water-sector interventions in developing countries, including nature-based options, built infrastructure, technological options, informational/educational schemes, institutional interventions, financial/market mechanisms, social/behavioral interventions, and coastal interventions, aimed at enhancing adaptive capacity and mitigation co-benefits.",,,
Quasi-experimental,Fixed effects (incl. DiD),High-standard basic farmland construction,,,
Systematic review of experimental and quasi-experimental studies,Random-effects inverse variance weighted meta-analysis (synthesizing results from experimental and quasi-experimental studies including RCTs and quasi-experimental designs),"Social skills training programmes, personal assistance and support, parent training programmes—designed to improve social and communication skills, interactive skills, relationships, and broad-based social inclusion for people with disabilities in low- and middle-income countries",,,
Quasi-experimental,"Fixed effects (incl. DiD), Statistical matching",Mergers and acquisitions among Indian pharmaceutical firms following the implementation of TRIPS in 1995,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the characteristic town policy in organic towns in Chongqing to improve sewage treatment from 2014 to 2020,,,
Experimental,Randomised controlled trial,A multifaceted graduation program aimed at building productive assets and psychosocial assets among poor women in Northern Kenya,,,
Quasi-experimental,"Fixed effects (incl. DiD), Statistical matching",Conditional cash-transfer program (Bono de Desarrollo Humano) in Ecuador,,,
Experimental,Randomised controlled trial,"Community-based, integrated HIV and sexual and reproductive health services for youth, including HIV testing, antiretroviral therapy, treatment monitoring, adherence support, family planning, STI management, menstrual health management, condoms, HIV prevention, and general health counselling.",,,
Quasi-experimental,Fixed effects (incl. DiD),"Supreme Court judgment in India that facilitated the hiring of contract workers, leading to an exogenous increase in their presence in firms",,,
Quasi-experimental,Fixed effects (incl. DiD),Designation of National Forest City status as a proxy for urban ecological culture construction,,,
Quasi-experimental,Statistical matching,Access to rural credit (including NGO and formal bank credit) for Boro rice farmers to evaluate its impact on adoption of agricultural technologies.,,,
Quasi-experimental,Statistical matching,"Indonesian conditional cash transfer (CCT), known as the Family Hope Program (FHP)",,,
Systematic review (meta-analysis of both Experimental and Quasi-experimental studies),"Randomised controlled trial, Fixed effects (meta-analysis synthesizing effects from RCTs and quasi-experimental studies), Meta-regression","Complex family planning interventions involving men and boys as users and supporters, including community-based educational initiatives, interventions delivered to both men and women, and programs facilitated by trained facilitators or peers in community, home, or school settings",,,
Quasi-experimental,Fixed effects (incl. DiD),"2008 reform of the Chilean pension system which increased pension benefits, changed accrual rates, and relaxed eligibility criteria for low-savings retirees",,,
Quasi-experimental,Fixed effects (incl. DiD),Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),,,
Quasi-experimental,Fixed effects (incl. DiD),Introduction and adoption of Bt cotton varieties in sub-Saharan African countries,,,
Quasi-experimental,Fixed effects (incl. DiD),Conditional cash transfer program (Progresa) in Mexico,,,
Quasi-experimental,Statistical matching,Participation in the Young Smart Farmer (YSF) program,,,
Quasi-experimental,Fixed effects (incl. DiD),China’s Agricultural Subsidy Reform (ASR) impacting fertilizer management at the county level,,,
Quasi-experimental,Fixed effects (incl. DiD),"['Disability hiring quota enforcement across firms', 'Corporate debarment (blacklisting) policy change for anti-corruption', 'Administrative redistricting through creation of new local government units']",,,
Quasi-experimental,Fixed effects (incl. DiD),"Digital fiscal stimulus via the 'Half and Half' program, which provides consumers with a fixed-percentage subsidy (copay) for purchases from small vendors through a digital platform",,,
Quasi-experimental,Fixed effects (incl. DiD),Access to Better Reproductive Health Initiative (ABRI) project to increase uptake of comprehensive contraception,,,
Quasi-experimental,Instrumental variable estimation,Productive Safety Net Program (PSNP) providing cash transfers and related support to rural households to improve food security,,,
Quasi-experimental,Fixed effects (incl. DiD),Comprehensive medical reform pilot strategy (CMRP) implemented in selected provinces in China,,,
Experimental,Randomised controlled trial,Daily provision of one egg per day to infants aged 6 to 9 months for six months,,,
Experimental,Randomised controlled trial,One-hour-long motivational workshop to encourage unbanked rural people to open savings accounts,,,
Quasi-experimental,Statistical matching,Adoption of better management practices and participation in nutrition-sensitive training for small-scale aquaculture producers,,,
Quasi-experimental,Fixed effects (incl. DiD),Innovation subsidy for firms,,,
Quasi-experimental,"Statistical matching, Instrumental variable estimation",Enhancement of access to Basic Public Health Services (BPHS) for rural migrant workers,,,
Quasi-experimental,Fixed effects (incl. DiD),Mother−daughter health education delivered through blended learning,,,
,,,"{'design': 'Quasi-experimental', 'method': 'Fixed effects (incl. DiD)', 'intervention': 'Natural variation in offspring sex composition and son bias'}","{'design': 'Quasi-experimental', 'method': 'Fixed effects (incl. DiD)', 'intervention': 'Gradual arrival of submarine Internet cables (fast Internet introduction)'}","{'design': 'Quasi-experimental', 'method': 'Instrumental variable estimation, Fixed effects (incl. DiD)', 'intervention': 'Expansion of roads and Internet infrastructure'}"
Experimental,Randomised controlled trial,"Behavioral economics nudges (norm nudges via text messaging, dynamic and injunctive norms, online behavioral interventions using gamification, heuristics, altruism, and framing)",,,
Quasi-experimental,"Fixed effects (incl. DiD), Statistical matching",Participation in basic medical insurance program,,,
Experimental,Randomised controlled trial,Group antenatal care as an alternative to individual antenatal care,,,
Experimental,Randomised controlled trial,A goal-setting activity for females to improve sexual and reproductive health outcomes and a soccer-based intervention for their male partners to educate and inspire better sexual and reproductive health choices.,,,
Quasi-experimental,Fixed effects (incl. DiD),Affordable housing programs and land use restrictions aimed at reducing urban sprawl,,,
Experimental,Randomised controlled trial,Randomly assigning female entrepreneurs to female mentors versus male mentors to test the impact of mentor gender on entrepreneurial outcomes such as firm sales and profits.,,,
Quasi-experimental,Fixed effects (incl. DiD),Exposure to a self-designed documentary on balanced diet topics among adolescent girls in a school setting,,,
Experimental,Randomised controlled trial,"All participants receive business training, and are randomly assigned to receive a loan either immediately after training (Concurrent Loan), with a delay of six weeks (Delayed Loan), or with a further delay (Control group).",,,
Quasi-experimental,"['Fixed effects (incl. DiD)', 'Instrumental variable estimation']","['Universal Secondary Education policy in Trinidad and Tobago', 'Child Support Grant (CSG) in South Africa']",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Ekiti State's anti-open grazing law (which bans open grazing and promotes ranching),,,
"['Quasi-experimental', 'Experimental', 'Quasi-experimental']","['Fixed effects (incl. DiD)', 'Randomised controlled trial', 'Fixed effects (incl. DiD)']","['Announcement of the Illicit Crop Substitution Program (ICSP) in Colombia', 'Information intervention by revealing job offer rate for female job seekers in Iraq', 'Removal of the black box warning on Chantix in the US']",,,
Quasi-experimental,Synthetic control,Economic liberalisation reforms (big bang vs. gradual vs. abortive reforms) in transition economies,,,
Quasi-experimental,"['Regression discontinuity design', 'Fixed effects (incl. DiD)']","Provision of full tuition coverage through the Ser Pilo Paga student loan program to high-achieving, low-wealth students for enrollment in certified high-quality universities in Colombia. The loan is converted into a grant upon bachelor’s degree completion.",,,
Experimental,Randomised controlled trial,"Deployment of uniformed and undercover police patrols to public space hotspots with varied visibility, to measure their impact on incidences of sexual harassment.",,,
Quasi-experimental,"Synthetic control, System GMM, Instrumental variable estimation","Oil discovery and production in Ghana, natural resource rents and decentralization policies, fiscal decentralization",,,
Experimental,Randomised controlled trial,Unconditional cash transfer to randomly selected households in rural Kenya,,,
Quasi-experimental,"Fixed effects (incl. DiD), Statistical matching",Training for Rural Economic Empowerment (TREE) program implemented in Zimbabwe in 2010 by the International Labour Organization,,,
Experimental,Randomised controlled trial,Randomized cash transfers via Togo’s COVID-19 Novissi program,,,
Quasi-experimental,Instrumental variable estimation,"Analysis of FDI inflow and trade openness as determinants of economic growth using panel data (no specific policy or program intervention, but assessment of the macroeconomic factors/policies at the country level)",,,
Quasi-experimental,Statistical matching,"Productive Safety Net Program (PSNP), specifically focusing on Household Asset Building (HAB) support in drought-prone areas",,,
Qualitative,Outcome harvesting,"School Health Programs/Health-Promoting Schools interventions in Southeast Asian countries, assessing facilitators and barriers and domains such as health education, nutrition services, disease control, mental wellbeing, etc.",,,
Qualitative,Outcome harvesting,"A review and categorization of pharmacological and non-pharmacological dental behavior support techniques used in trials, mapping them to standardized descriptors",,,
Qualitative,Other,Integrated midwifery management approach (educational intervention and follow-up by midwives for women with hypertensive disorders of pregnancy),,,
Quasi-experimental,Fixed effects (incl. DiD),"Health Poverty Alleviation Project (HPAP) in rural China, a policy intervention providing healthcare support to reduce health-related poverty.",,,
Experimental,Randomised controlled trial,"Targeted subsidies to increase uptake of climate-resilient sanitation products among climate-vulnerable, low-income households",,,
Experimental,Randomised controlled trial,Introduction of externally implemented monitoring regimes (bottom-up vs. top-down) to improve leadership accountability within existing community-based forest management initiatives,,,
Quasi-experimental,Fixed effects (incl. DiD),2016 minimum wage hike in Peru,,,
Quasi-experimental,Fixed effects (incl. DiD),"The 2009 Industry Revitalization Plan in China enacted in response to the global financial crisis, used as a natural experiment to examine the impact on firm innovation and network position.",,,
Quasi-experimental,Other,Mixed ownership reform introducing non-state shareholders in Chinese firms,,,
Quasi-experimental,Instrumental variable estimation,Development of the digital economy (proxied by digitalisation measures at the provincial level),,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the 'Broadband China' pilot policy, which expanded broadband infrastructure across selected regions in China.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of green credit policy affecting new energy listed companies in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Variation in renewable energy technology innovation (RETI) across cities and over time,,,
Quasi-experimental,Fixed effects (incl. DiD),Development of renewable energy at the provincial level in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Exporting intermediate or final goods by Chinese industrial firms,,,
Quasi-experimental,Statistical matching,Land transfer (either transferring land in or out) among rural households,,,
Quasi-experimental,Statistical matching,"Targeted Intervention (TI) program under the National AIDS Control Program for Hijra and Transgender population, primarily involving condom distribution by peer educators/outreach workers",,,
Experimental,Randomised controlled trial,"Use of ePOCT+, a digital clinical decision support algorithm combined with C-reactive protein test, hemoglobin test, pulse oximeter, and mentorship, to guide antibiotic prescription in outpatient pediatric care facilities.",,,
Quasi-experimental,Statistical matching,Project-supported and community-based watershed development (WSD) initiatives aimed at improving household food security and environmental conservation.,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Continuity of Midwifery Care (CMC) model compared to the Mother-Child Health (MCH) Book to enhance knowledge for adolescent pregnancy,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Low-Carbon City Pilot Policy (LCCP) in selected cities in China,,,
Quasi-experimental,Fixed effects (incl. DiD),China’s import market opening following its WTO accession in 2001,,,
Quasi-experimental,Fixed effects (incl. DiD),Changes in policy clarity and the appointment of new city-level officials (Party Secretaries) affecting the enforcement of environmental regulation policies.,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s Environmental Protection Tax Law (EPTL),,,
Quasi-experimental,Fixed effects (incl. DiD),"An implementation strategy package combining video-based PrEP information in the waiting bay, HIV self-testing, and dispensing of PrEP in antenatal care rooms at intervention clinics.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of 'smart city' construction projects in selected Chinese cities (smart city pilots) compared to non-pilot regions,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of a mid-2006 policy where the Chinese central government increased civil servant salaries and pensions, applied as an unfunded mandate to local governments in coastal areas and a funded mandate in others.",,,
Quasi-experimental,Fixed effects (incl. DiD),Air pollution information disclosure programme,,,
Quasi-experimental,Instrumental variable estimation,Ghana’s National Health Insurance Scheme (NHIS),,,
Quasi-experimental,Fixed effects (incl. DiD),Interest Subvention Scheme (ISS) for agricultural loans,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's carbon dioxide Emission Trading Scheme (CO2 ETS) pilot law in 2011 at the sector-province level,,,
Quasi-experimental,Fixed effects (incl. DiD),Population based indoor residual spraying in combination with mass drug administration using dihydroartemesinin-piperaquine (DHA-PQ) versus IRS alone using primiphos-methyl (Acttellic SC300),,,
Experimental,Randomised controlled trial,"Tu’Washindi: a multi-level, community-based intervention including (1) an eight-session empowerment-based support club, (2) community sensitization targeted towards male partners, and (3) a couples’ PrEP education event aimed at increasing PrEP uptake and adherence and addressing relationship- and violence-related barriers among adolescent girls and young women.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a pilot carbon emission trading policy in select regions of China,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Environmental Protection Tax (EPT) policy in selected Chinese cities,,,
Quasi-experimental,Statistical matching,Access to formal jobs through receiving a work permit for Syrian refugees in Jordan,,,
Quasi-experimental,Fixed effects (incl. DiD),"Malaria camps (DAMaN program) involving mass screening, treatment, education, and intensified vector control in hard-to-reach villages",,,
Experimental,Randomised controlled trial,Animated educational video combined with traditional counseling about cell-free DNA screening compared to traditional counseling alone among Thai pregnant women,,,
Quasi-experimental,Fixed effects (incl. DiD),"Coal Resource Consolidation Campaign (CRCC), an industrial reform that reduced anthracite coal supply for N-fertilizer firms",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Environmental Public Interest Litigation (EPIL) pilot policy in selected Chinese cities,,,
Experimental,Randomised controlled trial,Cognitive-behavioral counseling sessions for pregnant women with unwanted pregnancies,,,
Experimental,Randomised controlled trial,Transformative Action for Rural Adolescents (TARA) intervention delivering PACE++ curriculum with health and nutrition sessions in community settings,,,
Quasi-experimental,Statistical matching,Government transfer payments to rural poor households in China,,,
Quasi-experimental,Interrupted time series analysis,Implementation of electronic gatekeeping (EGK) software to manage laboratory test utilization and expenditure,,,
Quasi-experimental,Statistical matching,User fee exemption policy for maternal health services,,,
Experimental,Randomised controlled trial,Mobile-assisted education program using a mobile app providing healthy lifestyle instructions for 4 weeks to women with gestational diabetes,,,
Quasi-experimental,Difference-in-Differences (DiD),Implementation of the China Emissions Trading Scheme (carbon trading policy) affecting non-financial firms,,,
Quasi-experimental,Statistical matching,Facilitating 'offline-to-online' trust transfer among rural Chinese residents to increase the utilization of online medical consultation services,,,
Quasi-experimental,Fixed effects (incl. DiD),"Pollution Levy Standard Reform (PLSR) implemented in 2007, which increased pollution charges for Chinese industrial firms",,,
Quasi-experimental,Fixed effects (incl. DiD),"Designation of cities as National Big Data Comprehensive Pilot Zones, introducing digital economy development as an intervention to assess its impact on urban carbon pollution",,,
Quasi-experimental,Difference-in-differences (Fixed effects incl. DiD),"Merger of Local Tax Bureaus (LTBs) and State Tax Bureau (STB) in 2018 in China, leading to stricter tax enforcement",,,
