design,method,intervention
Quasi-experimental,Other,Raising FDI inflow and promoting trade openness in developing countries
Quasi-experimental,Statistical matching,Productive Safety Net Program providing support to drought-prone households
Qualitative,Other,Implementation of Health Promoting Schools programs in Southeast Asian countries
Qualitative,Other,Various dental behavior support techniques in clinical dental trials
Qualitative,Other,Integrated midwifery management approach for women with hypertensive disorders of pregnancy
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Health Poverty Alleviation Project (HPAP) in rural China
Experimental,Randomised controlled trial,Targeted subsidies for climate-resilient latrines to climate-vulnerable rural households
Experimental,Randomised controlled trial,Top-down and bottom-up monitoring regimes added to community-based forest management in Ethiopia
Quasi-experimental,Fixed effects (incl. DiD),2016 minimum wage hike in Peru
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 2009 Industry Revitalization Plan in China
Quasi-experimental,Fixed effects (incl. DiD),Introduction of non-state shareholders in mixed ownership reform of Chinese firms
Quasi-experimental,Instrumental variable estimation,Expansion of the digital economy across Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 'Broadband China' pilot policy
Quasi-experimental,Fixed effects (incl. DiD),Issuance of green credit policies to new energy listed companies in China
Quasi-experimental,Fixed effects (incl. DiD),Promotion of renewable energy technology innovation in Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Provincial renewable energy development in China
Quasi-experimental,Fixed effects (incl. DiD),Exporting intermediate or final goods by Chinese industrial firms
Quasi-experimental,Statistical matching,Facilitating land transfers between rural households
Quasi-experimental,Statistical matching,Provision of condoms to H/TG population via peer educators or outreach workers
Experimental,Randomised controlled trial,Digital clinical algorithm with CRP test to guide pediatric antibiotic prescription
Quasi-experimental,Statistical matching,Implementation of watershed development projects for farm households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Continuity of Midwifery Care model for pregnant adolescents
Quasi-experimental,Fixed effects (incl. DiD),Implementation of low-carbon city pilot policy in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),China's WTO accession increasing import market access for trade partners
Quasi-experimental,Fixed effects (incl. DiD),Policy clarity and performance incentives for newly-appointed city-level Party Secretaries
Quasi-experimental,Fixed effects (incl. DiD),Introduction of China’s Environmental Protection Tax Law
Quasi-experimental,Fixed effects (incl. DiD),"Video education, HIV self-testing, and PrEP dispensing in antenatal care clinics"
Quasi-experimental,Difference-in-Differences (Fixed effects),Introduction of 'smart city' construction in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Unfunded salary and pension mandate for civil servants in coastal regions
Quasi-experimental,Fixed effects (incl. DiD),Implementation of air pollution information disclosure program in China
Quasi-experimental,Instrumental variable estimation,Implementation of Ghana’s National Health Insurance Scheme (NHIS)
Quasi-experimental,Fixed effects (incl. DiD),Implementation of interest subvention scheme for farm credit in Madhya Pradesh
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a carbon dioxide Emission Trading Scheme (ETS) in selected provinces
Quasi-experimental,Fixed effects (incl. DiD),Combined mass drug administration and indoor residual spraying for malaria control
Experimental,Randomised controlled trial,"Multi-level support, education, and sensitization addressing relationship barriers to PrEP use"
Quasi-experimental,Difference-in-Differences,Implementation of a pilot carbon emission trading policy in selected regions of China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of an environmental protection tax in Chinese cities
Quasi-experimental,Statistical matching,Provision of formal work permits to Syrian refugees in Jordan
Quasi-experimental,Fixed effects (incl. DiD),"Malaria camps providing screening, treatment, education, and vector control in rural villages"
Experimental,Randomised controlled trial,Animated educational video on cell-free DNA screening for pregnant women
Quasi-experimental,Fixed effects (incl. DiD),Coal Resource Consolidation Campaign affecting coal supply for N-fertilizer firms
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Environmental Public Interest Litigation pilot in select Chinese cities
Experimental,Randomised controlled trial,Group cognitive-behavioral counseling for pregnant women with unwanted pregnancies
Experimental,Fixed effects (incl. DiD),PACE++ curriculum and nutrition sessions delivered to adolescent girls in rural communities
Quasi-experimental,Statistical matching,Government transfer payments to rural poor households
Quasi-experimental,Interrupted time series analysis,Implementation of electronic gatekeeping software for laboratory test requests
Quasi-experimental,Statistical matching,Exemption of user fees for maternal health services
Experimental,Randomised controlled trial,Mobile app-based lifestyle education for women with gestational diabetes
Quasi-experimental,Difference-in-Differences,Implementation of China's emission trading scheme for targeted firms
Quasi-experimental,Statistical matching,Facilitating 'offline-to-online' trust transfer among rural residents for online medical consultation
Quasi-experimental,Fixed effects (incl. DiD),Implementation of increased pollution charges via the Pollution Levy Standard Reform
Quasi-experimental,Fixed effects (incl. DiD),Establishment of the National Big Data Comprehensive Pilot Zone
Quasi-experimental,Difference-in-Differences,Merger of Local and State Tax Bureaus enforcing stricter tax policies
Quasi-experimental,Fixed effects (incl. DiD),Implementation of green finance and green policies in Chinese provinces
Quasi-experimental,Difference-in-Differences,Implementation of the carbon emission trading scheme in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of labour service cooperation policy in pilot provinces
Experimental,Randomised controlled trial,Implementation of the PAAS program promoting healthy eating in primary health care units
Quasi-experimental,Difference-in-Differences,Establishment of public resource trading centers in certain regions
Quasi-experimental,Fixed effects (incl. DiD),Income Tax Sharing reform increasing local government fiscal pressure
Quasi-experimental,Difference-in-Differences,Implementation of SO2 emissions trading pilot program in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Shanghai-Hong Kong and Shenzhen-Hong Kong Stock Connect programs
Quasi-experimental,Other,Expansion of agricultural insurance for rural producers in Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Implementation of village-level solar photovoltaic poverty alleviation plants
Quasi-experimental,Fixed effects (incl. DiD),National-level urban agglomeration development planning policies
Quasi-experimental,Fixed effects (incl. DiD),Export liberalization following China’s WTO accession
Quasi-experimental,Instrumental variable estimation,Promotion of social norms and environmental regulations for safe pesticide packaging waste disposal
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Transverse Eco-compensation Mechanism in the Xin’an River basin
Quasi-experimental,Fixed effects (incl. DiD),Subsidized livestock insurance for pastoral households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of cleaner production standards for Chinese manufacturing enterprises
Quasi-experimental,Fixed effects (incl. DiD),Establishment of National Big Data Comprehensive Pilot Zones in Chinese cities
Quasi-experimental,Interrupted time series analysis,Inclusion of orphan drugs in China's National Reimbursement Drug List in 2017
Quasi-experimental,Fixed effects (incl. DiD),Mandating environmental information disclosure by listed companies
Quasi-experimental,Fixed effects (incl. DiD),Implementation of information benefiting people pilot policy in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of supporting policy for resource-exhausted cities in China
Quasi-experimental,Fixed effects (incl. DiD),Provision of R&D and non-R&D government subsidies to digital enterprises
Quasi-experimental,Fixed effects (incl. DiD),Introduction of high-speed rail in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of carbon emission trading pilot policy in China’s iron and steel industry
Quasi-experimental,Fixed effects (incl. DiD),Implementation of water rights reform allowing water trading among users
Quasi-experimental,Difference-in-Differences,Mandatory disclosure of R&D expenditures by listed Chinese firms
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental regulation policies
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Belt and Road Initiative in participating countries
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the new Environmental Protection Law in China
Quasi-experimental,Difference-in-Differences,Implementation of China’s Fair Competition Review System in 2016
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the “Broadband China” digital infrastructure policy in urban areas
Quasi-experimental,Fixed effects (incl. DiD),Implementation of 'Document 43' reforming local government debt governance
Quasi-experimental,Fixed effects (incl. DiD),Firms’ compliance with environmental regulations
Quasi-experimental,Fixed effects (incl. DiD),Establishment of cross-border e-commerce comprehensive pilot zones in China
Quasi-experimental,Fixed effects (incl. DiD),Establishment of national-level urban clusters in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Establishment of pilot free trade zones in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of emission rights mortgage policy in China
Quasi-experimental,Fixed effects (incl. DiD),Reform replacing land reserve loans with specialized bonds for land reserves
Experimental,Randomised controlled trial,Formal peer PrEP referral plus HIV self-test kit delivery to young Kenyan women
Quasi-experimental,Fixed effects (incl. DiD),Addition of PX-UV to standard ICU cleaning protocol
Experimental,Randomised controlled trial,Additional clinical pharmacist checks in antibiotic prescribing for pediatric inpatients
Quasi-experimental,Statistical matching,Sector-specific industrial policy program targeting Ethiopian chemical manufacturing firms
Quasi-experimental,Fixed effects (incl. DiD),Establishment of Industrial Transformation and Upgrading Demonstration Zones in cities
Quasi-experimental,Fixed effects (incl. DiD),Introduction of high-speed railway services to selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s 2011 Social Insurance Law for small and micro businesses
Quasi-experimental,Fixed effects (incl. DiD),Hukou reform easing population mobility restrictions in urban China
Quasi-experimental,Fixed effects (incl. DiD),Launching an online platform for investor-firm interactions on the Shenzhen Stock Exchange
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a carbon emissions trading scheme across Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Integration of urban and rural health insurance systems in rural China
Quasi-experimental,Other,Eight-week educational sessions based on the health belief model for PMS prevention
Experimental,Randomised controlled trial,WeChat-based health promotion education for community health service patients
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Environmental Pollution Liability Insurance pilot policy in select regions
Experimental,Randomised controlled trial,Structured home visits to HIV patients post-hospitalization
Quasi-experimental,Interrupted time series analysis,COVID-19 lockdown measures restricting movement in Peru
Experimental,Randomised controlled trial,Digital platform delivers ECD activities and advice to caregivers of young children
Quasi-experimental,Instrumental variable estimation,Foreign direct investment into Chinese agricultural enterprises
Quasi-experimental,Statistical matching,FPO membership for organic farmers in Northeast India
Quasi-experimental,Fixed effects (incl. DiD),Receipt of different types of government grants by firms
Quasi-experimental,Synthetic control,Accelerated development policy including tax incentives and investment in the Far East
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Free Trade Zone policy in select Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Imposing narrow intraday price bands on Indian IPO stock listings
Experimental,Randomised controlled trial,Maternal nutrition education and responsive parenting program for pregnant women and young children
Experimental,Randomised controlled trial,Integration of Youth Readiness Intervention into a youth entrepreneurship program in Sierra Leone
Experimental,Randomised controlled trial,De-escalation training and co-designed code of conduct for healthcare workers
Experimental,Randomised controlled trial,Door-to-door active tuberculosis case-finding using sputum microscopy
Experimental,Randomised controlled trial,Distribution of newborn care kits with education by Lady Health Workers to pregnant women
Quasi-experimental,Fixed effects (incl. DiD),Unconditional cash transfers to poor and vulnerable households
Quasi-experimental,Fixed effects (incl. DiD),Hard lockdowns during COVID-19 in major Philippine regions
Quasi-experimental,Fixed effects (incl. DiD),Reduction in value-added tax (VAT) rates for enterprises in China
Quasi-experimental,Fixed effects (incl. DiD),Stricter environmental regulations imposed on Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s Sustainable Development Plan in resource-based cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a targeted social fund for poverty reduction
Experimental,Randomised controlled trial,25-week psychosocial stimulation program for undernourished children
Quasi-experimental,Fixed effects (incl. DiD),Large-scale PEPFAR funding for HIV/AIDS programs in selected countries
Quasi-experimental,Difference-in-Differences,2012 policy reform reducing royalty revenue for producer municipalities
Quasi-experimental,Fixed effects (incl. DiD),Closure of public hospitals as part of broader hospital reform policy
Quasi-experimental,Difference-in-Differences,Implementation of judicial system reform in China
Quasi-experimental,Difference-in-Differences,Merger of CBRC and CIRC altering political promotion incentives for banking supervisors
Quasi-experimental,Fixed effects (incl. DiD),Enactment of China's 2008 Anti-Monopoly Law
Quasi-experimental,Synthetic control,Implementation of Belt and Road Initiative infrastructure projects in Pakistan
Quasi-experimental,Statistical matching,Formation of commercialization clusters for malt barley farmers
Quasi-experimental,Statistical matching,Payments for ecosystem services contracts to incentivize forest conservation
Quasi-experimental,Fixed effects (incl. DiD),Implementation of dual carbon trading and free trade zone pilot policies
Quasi-experimental,Fixed effects (incl. DiD),Unconditional monthly cash transfer to people with disabilities in the Maldives
Experimental,Randomised controlled trial,Livelihood training and procurement links for disabled microentrepreneurs and their caregivers
Experimental,Randomised controlled trial,Provision of clean delivery kits to traditional birth attendants
Quasi-experimental,Fixed effects (incl. DiD),Anti-dumping investigations imposed on Chinese export firms
Quasi-experimental,Regression discontinuity design,Provision of cash transfers via South Africa’s Older Person’s Grant
Quasi-experimental,Fixed effects (incl. DiD),Regulatory changes allowing nonbanks to operate mobile money platforms
Quasi-experimental,Fixed effects (incl. DiD),Training and support for providers to reduce stress and bias in maternal care
Experimental,Randomised controlled trial,Providing SRH and HIV information to adolescents with hearing impairment via tailored sessions
Quasi-experimental,Statistical matching,Promoting long-term adoption of minimum tillage among smallholder farmers
Quasi-experimental,Statistical matching,Participation of rural households in land transfer (leasing in or out farmland)
Quasi-experimental,Statistical matching,Access to digital financial services for professional apple farmers
Other,Other,"Educational, behavioral, nutritional, or medical programs targeting gestational weight gain in LMICs"
Qualitative,Other,Implementation of conservation and development activities in UNESCO biosphere reserves
Experimental,Randomised controlled trial,Community-based growth monitoring and promotion for children under five
Qualitative,Other,Systematic review of road safety interventions implemented in African countries
Qualitative,Other,Promotion of maternal and neonatal healthcare via mobile phone technology
Experimental,Randomised controlled trial,Community-level youth-led programs targeting maternal and neonatal health
Qualitative,Other,Mother-focused versus mother-child focused postpartum depression interventions
Quasi-experimental,Fixed effects (incl. DiD),Construction and operation of new metro lines in Shenzhen
Quasi-experimental,Fixed effects (incl. DiD),Fiscal decentralization of environmental expenditure authority to local governments
Quasi-experimental,Fixed effects (incl. DiD),Expansion of government scholarships and establishment of Confucius Institutes abroad
Quasi-experimental,Statistical matching,Disability-targeted cash transfers to adults with severe disabilities
Quasi-experimental,Statistical matching,Implementation of Freedom of Information (FOI) regulations in municipalities
Quasi-experimental,Statistical matching,Implementation of best-bet System of Rice Intensification among rice farmers
Quasi-experimental,Fixed effects (incl. DiD),Transfer payments to key ecological function areas in Jiangxi Province
Quasi-experimental,Fixed effects (incl. DiD),Implementation of 2011 and 2015 forest management policy reforms in China's state-owned forest farms
Quasi-experimental,Fixed effects (incl. DiD),Introduction of the China Railway Express freight railway project
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Intellectual Property Demonstration City (IPDC) policies
Quasi-experimental,Fixed effects (incl. DiD),Expansion of Internet infrastructure in Chinese prefectural cities
Experimental,Randomised controlled trial,Iron fortification of condiments and seasonings for general population consumption
Qualitative,Other,Agroecological practices supporting sustainable food systems in Mekong Region countries
Quasi-experimental,Fixed effects (incl. DiD),Designation of innovation demonstration zones and innovative city pilot policies
Quasi-experimental,Fixed effects (incl. DiD),Implementation of an energy rights trading system
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Belt and Road Initiative policies in selected Chinese provinces
Quasi-experimental,Difference-in-Differences,Implementation of environmental protection tax across China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of smart city pilot policy in selected Chinese cities
Quasi-experimental,Regression discontinuity design,Chinese national strategy promoting mobile internet for inclusive finance
Quasi-experimental,Fixed effects (incl. DiD),Adoption of imported industrial robots by manufacturing firms
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Authorized Economic Operator certification for export firms
Quasi-experimental,Instrumental variable estimation,Expansion of fintech-based inclusive finance services in developing countries
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's environmental fee-to-tax reform
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's national innovative city pilot policy (NICP)
Quasi-experimental,Difference-in-Differences,Mandating lifelong environmental accountability for local leaders via AANR pilot
Quasi-experimental,Fixed effects (incl. DiD),"Upgrading and extending urban water and sewer networks in Zarqa, Jordan"
Experimental,Randomised controlled trial,Optimizing components of a digital parenting app for violence prevention in Tanzanian families
Experimental,Randomised controlled trial,GROW model cognitive behavioral coaching for school administrators
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the African Continental Free Trade Agreement (AfCFTA)
Quasi-experimental,Fixed effects (incl. DiD),Expansion of broadband infrastructure in selected Chinese cities
Quasi-experimental,Difference-in-Differences,"Implementation of housing purchase limits in Hefei, China"
Quasi-experimental,Statistical matching,Training farmers on recommended use of modern agricultural inputs
Quasi-experimental,Fixed effects (incl. DiD),Introduction of market-driven and government-guided green finance to manufacturing firms
Experimental,Randomised controlled trial,Intensive trimester-based nutrition counseling and SMS reminders for pregnant women
Experimental,Randomised controlled trial,Nutrition education and counseling for pregnant women during antenatal care visits
Quasi-experimental,Fixed effects (incl. DiD),Implementation of digital transformation in traditional manufacturing firms
Experimental,Randomised controlled trial,Engaging men via SMS and IPC for nutrition behavior change
Quasi-experimental,Statistical matching,Implementation of offshore wind power policies in coastal Chinese regions
Experimental,Randomised controlled trial,Randomly assigned information and ethnic-matching agents to women's self-help groups
Experimental,Randomised controlled trial,Provision of small-quantity lipid-based nutrient supplements to pregnant women and young children
Quasi-experimental,Fixed effects (incl. DiD),Implementation of cleaner production standards by the Chinese government in 2003
Experimental,Randomised controlled trial,Provision of basic weather forecasts to smallholder farmers via mobile phone
Quasi-experimental,Statistical matching,Conditional cash transfers to expectant mothers in rural Bangladesh
Quasi-experimental,Fixed effects (incl. DiD),Reform of enterprise income tax rates in China
Quasi-experimental,Difference-in-Differences,Joint Clean Air Action policy enforcing stricter pollution controls in North China Plain cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of open government data (OGD) initiatives in Chinese cities
Quasi-experimental,Statistical matching,Chinese agricultural technology training for Nigerian farmers
Experimental,Randomised controlled trial,Two-way SMS-based telehealth follow-up after voluntary medical male circumcision
Quasi-experimental,Regression discontinuity design,Eco-restoration of three black-odorous urban rivers in Wuhan
Quasi-experimental,Instrumental variable estimation,China’s financing to African countries under the Belt and Road Initiative
Quasi-experimental,Statistical matching,Behavior change communication modules delivered in self-help groups
Quasi-experimental,Statistical matching,Participation in the Bolsa Família conditional cash transfer program
Quasi-experimental,Fixed effects (incl. DiD),Implementation of emissions trading schemes with carbon pricing in select Chinese regions
Quasi-experimental,Statistical matching,Fertilizer application training programs for apple growers
Quasi-experimental,Difference-in-Differences,Implementation of greenhouse gas emissions trading scheme in the Pearl River Delta
Experimental,Randomised controlled trial,Breastfeeding and healthy complementary feeding sessions for adolescent mothers after delivery
Quasi-experimental,Fixed effects (incl. DiD),Demand-creation campaign promoting egg consumption via media and public promotions
Experimental,Randomised controlled trial,mHealth psycho-nutritional program promoting sustainable diets among young Mexican adults
Quasi-experimental,Fixed effects (incl. DiD),Introduction of pilot carbon emissions trading policy in selected Chinese regions
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of purchase subsidies, public procurement, and restrictions for NEVs"
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's Low-carbon Pilot (LP) program
Quasi-experimental,Statistical matching,Direct benefit transfers subsidizing micro-irrigation adoption for farm households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Ambient Air Quality Standard by China's central government in 2012
Quasi-experimental,Fixed effects (incl. DiD),Implementation of local content requirements for products in Indonesia
Quasi-experimental,Fixed effects (incl. DiD),Education authority reform increasing local government fiscal pressure
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Big Data Comprehensive Pilot Zone (BDCPZ) policy in China
Quasi-experimental,Statistical matching,Establishing a human milk bank and strengthening lactation support
Quasi-experimental,Fixed effects (incl. DiD),Implementation of an emission trading system in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Broadband China pilot digital policy in selected urban regions
Quasi-experimental,Fixed effects (incl. DiD),Urban climate adaptation policies to improve green total-factor productivity
Quasi-experimental,Statistical matching,Moringa and sori fish flour biscuits given to anemic adolescent girls
Experimental,Randomised controlled trial,Showing targeted agricultural training videos to male or female household members
Quasi-experimental,Fixed effects (incl. DiD),Implementation of regionally differentiated feed-in tariffs for wind power in China
Quasi-experimental,Synthetic control,Implementation of Northeast Revitalization Policy in Liaoning urban agglomeration
Experimental,Randomised controlled trial,Healthy diet information provided via fliers and phone-based interactive voice response
Quasi-experimental,Fixed effects (incl. DiD),Expansion of the digital economy at the provincial level across China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of carbon emissions trading policy in select Chinese provinces
Experimental,Randomised controlled trial,Addition of 5% rice bran to ready-to-use therapeutic food for malnourished children
Quasi-experimental,Fixed effects (incl. DiD),Legalization of farmland transfers via the 2014 Three Property Rights Separation reform
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Broadband China digital infrastructure policy in select urban areas
Quasi-experimental,Difference-in-Differences,Implementation of demonstration zones for agricultural science and technology innovation
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Golden Tax III digital tax administration reform
Experimental,Randomised controlled trial,Daily vitamin D supplementation to pregnant women at varying doses
Quasi-experimental,Synthetic control,Opening of the Lanzhou-Xinjiang high-speed railway in northwest China
Experimental,Randomised controlled trial,Eight sessions of cognitive-behavioral therapy for pregnant women
Experimental,Randomised controlled trial,Deployment of attractive targeted sugar baits for malaria vector control
Experimental,Randomised controlled trial,Distribution of multimedia sexual health promotion packages to married couples
Experimental,Randomised controlled trial,Online flashcard-based educational game on HIV-AIDS for high school students
Quasi-experimental,Statistical matching,COVID-19 vaccination prior to conception for women planning pregnancy or fertility treatment
Quasi-experimental,Difference-in-Differences,Designation of National Ecotourism Demonstration Areas in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of pilot free trade zones in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of carbon emissions trading scheme in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of low-carbon city pilot policies in selected Chinese cities
Quasi-experimental,Interrupted time series analysis,Implementation of DRG point payment reform in pediatric hospital services
Quasi-experimental,Difference-in-Differences,Enactment of China’s new Environmental Protection Law in 2015
Quasi-experimental,Statistical matching,Provision of agricultural extension services to Palestinian farmers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of carbon trading policies in selected Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Community-based peer support groups for adolescent mothers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of carbon taxes and emission trading schemes at various government levels
Quasi-experimental,Difference-in-Differences,Streamlining administrative approval procedures for firms in Zhejiang province
Quasi-experimental,Fixed effects (incl. DiD),Provision of cognitive behaviour therapy to Nigerian journalists reporting on violence
Quasi-experimental,Difference-in-Differences,Integration of big tech credit scores into microfinance loan decisions
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Vietnam’s 2017 national tourism development policy
Quasi-experimental,Fixed effects (incl. DiD),Accelerated depreciation tax incentives for firms in selected pilot industries
Quasi-experimental,Fixed effects (incl. DiD),Fiscal policy pilot promoting urban energy conservation and emission reduction
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 2015 China Agricultural Sustainable Development Plan (ASDP)
Experimental,Randomised controlled trial,"Comparison of psychosocial, mHealth, and combined adherence support for MDR-TB/HIV patients"
Quasi-experimental,Fixed effects (incl. DiD),Statutory corporate income tax reduction in GWD regions of China
Quasi-experimental,Fixed effects (incl. DiD),Pilot program replacing business tax with value-added tax in select Chinese regions
Quasi-experimental,Fixed effects (incl. DiD),Implementation of real estate purchase restriction policy in China
Experimental,Randomised controlled trial,Breastfeeding promotion using society ecosystems theory versus standard prenatal/postnatal care
Quasi-experimental,Fixed effects (incl. DiD),Implementation of green credit policy in Indonesian commercial banks
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 2015 Paris climate agreement globally
Quasi-experimental,Regression discontinuity design,Awarding online IT certification to engineering graduates scoring above an exam threshold
Quasi-experimental,Difference-in-Differences,Enactment of Chinese Government Procurement Law in 2003
Quasi-experimental,Difference-in-Differences,Implementation of a natural resource conservation and intensification pilot scheme
Quasi-experimental,Fixed effects (incl. DiD),Entry of foreign banks to increase financial openness in China
Quasi-experimental,Difference-in-Differences (DiD),Establishment of the National Integrated Circuit Industry Investment Fund (NICIIF)
Quasi-experimental,Statistical matching,Implementation of Fairtrade and Organic coffee certification schemes among smallholder farmers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of various environmental regulatory policies targeting industrial enterprises
Quasi-experimental,Difference-in-Differences,Implementation of the Key Air Pollution Control Zone policy in 2010
Quasi-experimental,Fixed effects (incl. DiD),Implementation of local peacebuilding programs (PDET) from the 2016 Peace Accords
Experimental,Randomised controlled trial,Parenting stimulation and caregiver mental health training delivered by local government agents
Quasi-experimental,Fixed effects (incl. DiD),Deleveraging and decapacity policies in high-pollution and energy-intensive industries
Quasi-experimental,Statistical matching,SMS-based breastfeeding messages sent to expectant mothers and fathers
Quasi-experimental,Fixed effects (incl. DiD),Expansion of highway infrastructure in Chinese counties and districts
Quasi-experimental,Fixed effects (incl. DiD),Integration of urban and rural medical insurance systems in China
Quasi-experimental,Other,Engaging male peers in menstrual hygiene management for disabled women and adolescent girls
Experimental,Randomised controlled trial,Brief early childhood development sessions during routine healthcare visits
Experimental,Randomised controlled trial,Educational session plus leaflet on syphilis for postpartum women
Experimental,Randomised controlled trial,Psychosexual counseling using a cognitive-behavioral approach for reproductive-age women
Quasi-experimental,Other,Implementation of various environmental regulations targeting industrial pollutant emissions
Quasi-experimental,Fixed effects (incl. DiD),Signing China's bilateral currency swap agreements with partner countries
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Drug Marketing Authorization Holder reform in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a provincial carbon emissions trading pilot policy in China
Quasi-experimental,Fixed effects (incl. DiD),Designation and construction of National Eco-Industrial Demonstration Parks
Experimental,Randomised controlled trial,Group-CBT and family-strengthening sessions for adolescents living with HIV
Experimental,Randomised controlled trial,User-centred strategy for implementing tuberculosis contact investigation at healthcare facilities
Quasi-experimental,Synthetic control,Democratization of Senegal beginning in 2000
Quasi-experimental,Fixed effects (incl. DiD),Implementation of carbon emission trading policies in selected Chinese provinces
Experimental,Randomised controlled trial,Volunteer-led mindfulness and mentorship sessions for migrant Chinese children
Quasi-experimental,Fixed effects (incl. DiD),Mandatory CSR disclosure requirements imposed on Chinese firms
Quasi-experimental,Instrumental variable estimation,Food quality certification for smallholder vegetable farms in China
Experimental,Randomised controlled trial,Provision of fortified balanced energy-protein supplements during pregnancy and lactation
Experimental,Randomised controlled trial,Sending short text message advisories to Haitian peanut farmers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of digital healthcare service reform for older adults in China
Experimental,Randomised controlled trial,Five-week solution-focused group counseling for college students
Quasi-experimental,Fixed effects (incl. DiD),China’s outward foreign direct investment in Belt and Road countries
Experimental,Randomised controlled trial,Online time management and resilience training for female nurses
Quasi-experimental,Other,Low-fidelity simulation training on breastfeeding for young lactating mothers
Quasi-experimental,Statistical matching,BRAC community-based nutrition education with WASH and deworming components
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a carbon emissions trading scheme for selected companies
Quasi-experimental,Fixed effects (incl. DiD),WTO-driven tariff reductions on output and input goods in China
Experimental,Randomised controlled trial,School-based supplementation with iron-folic acid or multiple micronutrient tablets for adolescents
Quasi-experimental,Difference-in-Differences,Implementation of digital tax administration system (CTAIS-3) in selected regions
Quasi-experimental,Statistical matching,Appointment of directors by non-state shareholders in state-owned companies
Experimental,Randomised controlled trial,Weekly provision of fish powder to infants during complementary feeding
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s new environmental protection law
Experimental,Randomised controlled trial,Trained facilitators led participatory learning meetings in women’s groups on HNWASH topics
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s low-carbon city pilot (LCC) environmental regulation policy
Quasi-experimental,Fixed effects (incl. DiD),Implementation of diverse environmental regulations in China's textile industry
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Belt and Road Initiative in participating countries
